BLOCK;DATETIME;TX;DONAR;DONATION[BTC];DAYSUM[BTC];DAYRATE[AGS/BTC];RELATED_ADDR
277935;2013-12-31 15:43:51 UTC;c0786d6df620030fdac1dfab4246999b6a77938246274d8f6755c7f004a5213f;17YkGzc6BTBRCTahbxbXWM41Y2gGqJqeNR;0.01;25.86054583;193.34472029;
277937;2013-12-31 16:07:06 UTC;4a1b74e5279be4cdf28dcd6a943a6a8ff8195a547721e65f0b6d45a935e3c7d4;1NCNAeiYiYzJDgsWEfHVcXiV6yMmQhk9dk;0.5;26.36054583;189.67740775;
277937;2013-12-31 16:07:06 UTC;836390e88556d3dece5afc5c3bcd4efc099014020c7104f685f64a996bf5b70d;16L78UPKcmaxSYru27eCW8LKoJLkvynNsy;0.048;26.40854583;189.33265134;15FVqUmVrGQHLto32ukgvvn3NhKB5uUwge,1Hyw2nkuufJDP9ZVaBFhYVgKyYPXUy5tF4
277944;2013-12-31 17:13:25 UTC;b549172baec4657312719e8575a57717c76e69e9ff4c7d589c0a624e95657eea;1Bitcoin4yZjSSPoXUceJaiyQLABx7B2LL;5.77;32.17854583;155.38303149;
277944;2013-12-31 17:13:25 UTC;f52bf96024bd3f0c7e2815ab21640f8370490930e83ce2caf4d60bc4b51032a1;1AiVzcsKYhwBEFGKfdnTtdwTqoDnEYUvjC;0.1;32.27854583;154.90164973;
277944;2013-12-31 17:13:25 UTC;872af4dbfcb65070096b8ac8ba6d56f0afaa36fa7c572f60b3fd88884ff51083;1DLbmALgy7saTfpEsbweP1es9CmVVzHpts;0.2;32.47854583;153.94777913;
277944;2013-12-31 17:13:25 UTC;aed5cfa40a1f629c8bff533c9e56510e26e87be6bfdb8dd1301e5a3cbf9609b2;16KfzwTDY69bkGanrdcv1yDSoHDuoMUAPK;0.099;32.57754583;153.47994677;
277945;2013-12-31 17:17:25 UTC;8439d06aa5bdadbc268869faca89bf1df0b0183dc0257693331718fa5c658354;1N12nkx79Z9XNjfDHjYP6brdx3JUmCtYEW;0.3;32.87754583;152.07947776;
277945;2013-12-31 17:17:25 UTC;cd9a32a8b0dd9befcd1165e17729c635fa77b9b153511ac28741438916c15b48;1CjmzQxbLZzcDS1GDubhy8JRGgbRN5Ggkw;0.001;32.87854583;152.07485227;
277948;2013-12-31 17:42:43 UTC;329b448166e986656a02697d922d86db347865a5d10e02880e719e2018dabb1b;1AnGeLHNYj9Wd2J8u9q8Gr32VSafWrqXPH;0.01;32.88854583;152.02861281;
277950;2013-12-31 17:57:23 UTC;bf1cf73b2311b209466c3fe8440c2615df193c93e29ca659e9fbda5329fbc3bd;1MJwxPeFyVwTXTS12QDfRweEHbaYozVSok;0.05;32.93854583;151.79783667;151XWvwGZ1T8e7Dsfp35y79uoSiN9vrKWM
277968;2013-12-31 20:07:57 UTC;056ecdc2c432e9b192340010f28bf41ff8db852e7d3ffbd53c3827a67f6667ab;1Jiedo8vV4YytadgGA4mjRvo9y2gVkDKCt;0.1;33.03854583;151.3383799;
277970;2013-12-31 20:34:19 UTC;b8b5696be930ba61156623ed3a9aff8f7e280f157f9cb7bf2f6474addc3fdb24;18vvP4un171r4g4vaZHzYSM4jYW8YTG9CY;0.6;33.63854583;148.63900554;
277983;2013-12-31 21:54:37 UTC;344ca9ebeeb508d6ca00c5e6666dd3a3c9dcdac75c9ac3fe9f5b346a3829e846;1DeADSSzC4pucosNA3Kw32MP77aSKs1Gvp;0.00042025;33.63896608;148.6371486;
277988;2013-12-31 22:59:02 UTC;94e746a4190fd986e7fd363cbb7b23a97c1eacec97289f83786c02d6ed8511f4;15752Yj6QkXJdegwtRkTLidqLoaEJpqiJ9;0.25;33.88896608;147.54064754;
277996;2014-01-01 00:11:09 UTC;b0083ff522209d41b0ddad0529e085f430d60e3783ba8d90728d04627c4274ea;19pGQm7wQWc9dMhtpFxZU9HtSNaR4Fgbu3;0.01;33.89896608;147.4971239;
277998;2014-01-01 00:17:17 UTC;8bc2ec977d6da4e54b02d1e5115fa15e381f08b2866dbba3b8c352dc247793b7;1QEoaSAXTfT1T3YfgamzcoEqQXxPd8hZU5;0.06;33.95896608;147.23652034;
278004;2014-01-01 00:57:00 UTC;6397a36ae8dcbdd3ad1fe875be21d01cb0d1d3d3a3e30da1a27c868a6d930f1f;1VESCU4YLvNYhmTsJRgFKKn3bLFeeWtJm;0.025;33.98396608;147.12820711;
278010;2014-01-01 01:45:08 UTC;818039b742b3d5a3f238ab1dee306658af8a678ad7caf186358422e3a7951326;1LFtYLC4fXtVVJZSKLGk6KvuKmKSMdWogL;0.68054578;34.66451186;144.23973487;
278026;2014-01-01 03:26:24 UTC;2470af3998c4161283abdbef66fc18f4883834c0de11c67bbb9b32d773e9ad04;16cEcFoUgr76S5yFYuHiwd79CcAGBoHgWB;0.01;34.67451186;144.19813667;1BTxBM8gVLnujkjzdZ4FhoEBrMqtPQMiVr
278048;2014-01-01 07:05:18 UTC;54e2e1f9fa65dd2ec1f81e04a92bb8ae396f27f3dc36687b380b29f5c8bc7bea;1F9AcP5Sap7mM4Hm6yWPxdddmGsQdBMikH;0.18;34.85451186;143.45345073;
278051;2014-01-01 06:07:09 UTC;12969f176cb3866c444a260cd115918ff9f75583b6e805d00e2e2b1e60b0aaab;1M9zLJveSTkoSYz1h5CWHUgo4sHijvPvjX;0.01;34.86451186;143.41230475;1NgQ55DKVVzfHjMcPgyYSK1yKm4S7MRo9s,14jq5PLNUy8qxagr7G6LHcKZKrrm2TgKKj,19M9zwcAtrVdUDT7wEbBPybCBVoVEeeaAR,1L2tDyDr2Xv978sVdZnM7xcRdJFCjNRmFR,1AH5qPqZyhkfmbFDHtiRP5mUFRs67qJusp,1JzUaWGsNwxFMzpsG1xDJWofLdK8Xf6pHu,1LumXjgPf1EfNi6mGBfb8nyB6aBK5UB79j,168GpSuKJwhdeB5GNjn2pD816Dq4XMidHk,15wfVwgJDF5AktVbM7CNSAkK3nSRY3XG1H,1NZT9CErfMgkqup3VuppkFB6yfggmkaHU5,1CM7khR5d59TGAKsWtkPMtoup4w7PzyYZs,1FcE7suj4w3zxyqyvnfAEfGGN66HDV3SM5,14Ls5NYxV8xgRowEn65rjK3fADD92uF9WR,1DA1H5E5rPE876wZVnbAEDCw8cNdaavZLn
278053;2014-01-01 06:17:50 UTC;20268b18b2be8cad1f7f815c6715e92e04c09aba46ac3a1b443c6dc53a94a3c7;1JmSAD7dzJjFasH7Qc3ePQACyAGbodyHry;0.00015;34.86466186;143.41168774;
278053;2014-01-01 06:17:50 UTC;44678660c51069f4f12b02bf8b0aeba72a64549f2267ba6e827c34efcf8b8cbc;1AiVzcsKYhwBEFGKfdnTtdwTqoDnEYUvjC;0.05;34.91466186;143.20631315;
278053;2014-01-01 06:17:50 UTC;368dbe213e4982dc20dd695868b45f7b80ed657e45b3aefc251e937339da3ede;1GePNXdbdAKQZ9MPUTcnRKWo5mBj4HoCUJ;0.5;35.41466186;141.18446252;
278057;2014-01-01 06:33:17 UTC;93478938f9936358a14ea26d3f52eb12faae3d30a1a10993cc8d92d9a5ddc8c7;1Ai2PWQng6utUHGBnx8nepHQShpMyuujdE;0.01;35.42466186;141.14460767;1H2T1FANn6DBXUgJ5wL8TcDjezsXxdaw18
278061;2014-01-01 06:54:33 UTC;08ebd17b799084def28758bdfc52d43312dca339929f0deddbc2f24206792709;1GxYLTQx3ZvVNpwZMHz4vw342S4b1zVAwk;0.04;35.46466186;140.98541302;
278069;2014-01-01 08:18:28 UTC;a7f9deb7f0ce0e13990962e41768459b80478f2c52550e9f4c3a96799b7b70b6;15gCRdHzRFczreRT1JeiosXWEwfxSGmBPi;0.999;36.46366186;137.12281611;
278069;2014-01-01 08:18:28 UTC;c0a6de545479f951765c071cff7899f64c49f895159560ecfe2ee99c2e0ef7ad;1EEm8xu56JUbbNu9ug2t9vGgcc2Mb6zy2m;0.2;36.66366186;136.37481218;
278082;2014-01-01 09:39:36 UTC;aed561c4c0d14b8c391c42d4baf483402c8c561e3659e776109242050e466092;1K2qmHwxyZumsfWPWekrEwo62UzvxY6V9m;0.0002;36.66386186;136.37406826;
278084;2014-01-01 09:52:56 UTC;c66f1eff7045c7dde68197b4cefd45cfd0d764f675cc23f98d4ee3981e7225cc;1HLMFqZqxY7SKusPtowNe2iV2HapEx4Atx;0.03;36.69386186;136.26257217;
